Date,Close,Open,High,Low,Change
2020-07-06,1191.92,1199.66,1200.1,1191.11,-0.0058
2020-07-07,1196.75,1192.04,1197.78,1189.23,0.0040999999999999995
2020-07-08,1192.05,1196.84,1199.53,1192.08,-0.0039000000000000003
2020-07-09,1196.98,1192.68,1199.13,1191.04,0.0040999999999999995
2020-07-10,1200.42,1197.06,1206.03,1196.18,0.0029
2020-07-13,1203.37,1200.52,1204.48,1198.69,0.0025
2020-07-14,1204.89,1203.87,1208.74,1203.07,0.0013
2020-07-15,1200.5,1205.01,1205.49,1198.81,-0.0036
2020-07-16,1205.11,1201.0,1207.6,1200.08,0.0038
2020-07-17,1203.44,1205.23,1207.35,1202.92,-0.0014000000000000002
2020-07-20,1200.9,1203.53,1206.93,1200.46,-0.0021
2020-07-21,1193.92,1201.02,1202.02,1192.34,-0.0058
2020-07-22,1197.22,1194.03,1199.91,1192.29,0.0028000000000000004
2020-07-23,1201.45,1197.38,1203.85,1195.58,0.0034999999999999996
2020-07-24,1201.5,1201.95,1204.59,1198.71,0.0
2020-07-27,1195.57,1201.49,1202.32,1194.12,-0.0049
2020-07-28,1199.46,1196.07,1202.16,1190.1,0.0033
2020-07-29,1189.79,1199.54,1200.05,1189.76,-0.008100000000000001
2020-07-30,1189.62,1190.04,1198.22,1187.59,-0.0001
2020-07-31,1193.59,1189.73,1196.11,1186.27,0.0033
2020-08-03,1192.59,1194.1,1196.79,1191.31,-0.0008
2020-08-04,1193.2,1192.7,1197.12,1191.18,0.0005
2020-08-05,1186.05,1193.32,1193.81,1183.31,-0.006
2020-08-06,1183.5,1186.24,1187.47,1182.51,-0.0022
2020-08-07,1188.68,1184.0,1191.28,1183.07,0.0044
2020-08-10,1185.58,1189.19,1189.64,1183.9,-0.0026
2020-08-11,1185.62,1186.08,1187.97,1181.69,0.0
2020-08-12,1183.23,1186.12,1187.77,1182.33,-0.002
2020-08-13,1184.92,1183.74,1186.32,1181.24,0.0014000000000000002
2020-08-14,1186.94,1185.15,1188.06,1183.92,0.0017000000000000001
2020-08-17,1183.19,1185.9,1187.27,1183.63,-0.0032
2020-08-18,1182.7,1184.14,1186.7,1182.89,-0.0004
2020-08-19,1181.74,1183.79,1184.57,1176.04,-0.0008
2020-08-20,1185.24,1182.24,1190.91,1181.53,0.003
2020-08-21,1191.72,1185.36,1193.51,1183.1,0.0055000000000000005
2020-08-24,1188.66,1192.12,1193.03,1186.47,-0.0026
2020-08-25,1187.35,1189.04,1190.22,1184.7,-0.0011
2020-08-26,1184.39,1187.48,1188.94,1184.16,-0.0025
2020-08-27,1187.44,1184.79,1188.51,1182.82,0.0026
2020-08-28,1180.48,1187.56,1188.29,1180.03,-0.0059
2020-08-31,1187.94,1180.51,1188.87,1178.91,0.0063
2020-09-01,1185.45,1188.07,1188.69,1181.68,-0.0021
2020-09-02,1189.13,1185.58,1191.71,1184.18,0.0031
2020-09-03,1191.48,1189.63,1192.56,1185.47,0.002
2020-09-04,1187.3,1191.73,1193.21,1186.94,-0.0034999999999999996
2020-09-07,1187.27,1187.33,1189.67,1185.85,-0.0
2020-09-08,1190.1,1187.77,1190.87,1185.8,0.0024
2020-09-09,1184.79,1190.23,1191.79,1184.05,-0.0045000000000000005
2020-09-10,1188.11,1184.92,1188.73,1183.88,0.0028000000000000004
2020-09-11,1187.89,1188.21,1190.27,1185.6,-0.0002
2020-09-14,1181.51,1187.99,1188.86,1180.21,-0.0054
2020-09-15,1179.76,1181.89,1183.53,1176.74,-0.0015
2020-09-16,1172.88,1180.26,1181.93,1169.9,-0.0058
2020-09-17,1169.2,1172.97,1178.18,1168.43,-0.0031
2020-09-18,1164.81,1169.7,1170.78,1159.4,-0.0038
2020-09-21,1163.61,1165.0,1168.31,1156.46,-0.001
2020-09-22,1163.61,1164.84,1166.03,1158.93,0.0
2020-09-23,1170.65,1163.65,1172.46,1160.69,0.0060999999999999995
2020-09-24,1169.1,1170.78,1176.31,1167.08,-0.0013
2020-09-25,1174.32,1169.6,1178.03,1168.35,0.0045000000000000005
2020-09-28,1166.85,1174.44,1175.23,1166.81,-0.0064
2020-09-29,1168.73,1167.35,1171.6,1166.38,0.0016
2020-09-30,1164.65,1168.82,1171.58,1163.73,-0.0034999999999999996
2020-10-01,1162.83,1164.75,1165.84,1160.7,-0.0016
2020-10-02,1166.26,1162.93,1168.28,1162.18,0.0029
2020-10-05,1157.12,1166.35,1167.33,1156.59,-0.0078000000000000005
2020-10-06,1164.37,1157.29,1166.07,1156.42,0.0063
2020-10-07,1157.26,1164.87,1166.56,1156.14,-0.0060999999999999995
2020-10-08,1151.11,1157.38,1159.31,1150.43,-0.0053
2020-10-09,1143.52,1151.22,1151.87,1141.86,-0.0066
2020-10-12,1147.79,1143.65,1152.14,1143.11,0.0037
2020-10-13,1148.3,1148.29,1151.93,1144.46,0.0004
2020-10-14,1147.14,1148.8,1150.0,1142.28,-0.001
2020-10-15,1145.14,1147.2,1149.46,1141.53,-0.0017000000000000001
2020-10-16,1142.13,1145.23,1148.14,1140.73,-0.0026
2020-10-19,1140.06,1142.21,1143.96,1137.26,-0.0018
2020-10-20,1138.39,1140.63,1141.88,1137.25,-0.0015
2020-10-21,1132.54,1138.77,1140.1,1130.61,-0.0051
2020-10-22,1134.74,1133.07,1137.55,1131.96,0.0019
2020-10-23,1127.95,1135.14,1136.94,1126.23,-0.006
2020-10-26,1132.44,1128.45,1134.16,1127.06,0.004
2020-10-27,1129.21,1132.51,1133.43,1124.69,-0.0029
2020-10-28,1134.93,1129.28,1138.97,1126.57,0.0051
2020-10-29,1130.06,1135.14,1136.08,1130.19,-0.0043
2020-10-30,1136.49,1130.56,1139.16,1126.23,0.005699999999999999
2020-11-02,1132.95,1136.6,1137.6,1132.59,-0.0031
2020-11-03,1131.32,1133.1,1137.16,1129.79,-0.0014000000000000002
2020-11-04,1127.65,1131.39,1147.82,1125.47,-0.0032
2020-11-05,1122.88,1129.66,1134.41,1121.6,-0.0042
2020-11-06,1121.4,1123.38,1127.18,1118.45,-0.0013
2020-11-09,1119.06,1121.91,1122.35,1110.42,-0.0021
2020-11-10,1117.07,1119.45,1120.29,1113.6,-0.0018
2020-11-11,1112.39,1117.2,1118.13,1108.93,-0.0042
2020-11-12,1114.86,1112.49,1116.31,1110.46,0.0022
2020-11-13,1107.62,1115.03,1117.12,1107.03,-0.006500000000000001
